ReportDate,DataYM,CompanyCode,CompanyName,Industry,NowRevenue,LastMonthRevenue,LastYearSameMonthRevenue,MonthlyPercent,YearlyPercent,CumulativeNowRevenue,CumulativeLastYearRevenue,CumulativeChangePercent,Comment
1150117,11412,3588,通嘉,半導體業,119631,110249,105278,8.509827754,13.63342769,1348683,1453906,-7.237262932,-
1150117,11412,3591,艾笛森,光電業,172995,184982,226567,-6.480089955,-23.64510277,2307824,2558790,-9.807995185,-
1150117,11412,3592,瑞鼎,半導體業,1778256,1803961,1881678,-1.42491994,-5.496264504,22397169,24376802,-8.120970913,-
1150117,11412,3593,力銘,電子零組件業,70155,58128,73478,20.690545,-4.522442092,1093005,877438,24.56777573,-
1150117,11412,3596,智易,通信網路業,4208498,4336781,4008270,-2.958023474,4.995372068,52975952,48967458,8.186036531,-
1150117,11412,3605,宏致,電子零組件業,910962,922509,910570,-1.251695105,0.043049958,10859557,9770897,11.14186343,-
1150117,11412,3607,谷崧,電子零組件業,243901,204509,292936,19.26174398,-16.73915121,2812505,3144071,-10.54575421,-
1150117,11412,3617,碩天,其他電子業,930656,958923,998137,-2.947786214,-6.760695175,11876479,12493894,-4.941733938,-
1150117,11412,3622,洋華,光電業,134485,111001,82362,21.15656616,63.28525291,1725633,1577292,9.404789982,本月主係電線電纜產品依客戶施工需求增加所致。
1150117,11412,3645,達邁,電子零組件業,203261,184265,210751,10.30906575,-3.553957039,2373234,2246579,5.637682895,-
1150117,11412,3652,精聯,電腦及週邊設備業,211911,179674,238484,17.94193929,-11.14246658,2452536,2438169,0.589253657,-
1150117,11412,3653,健策,電子零組件業,1870032,1701437,1650992,9.908976941,13.26717513,20275577,14278187,42.00386226,-
1150117,11412,3661,世芯-KY,半導體業,1375789,1698309,4485798,-18.99065482,-69.33011696,30924428,51976782,-40.50338091,本月營收較去年同期減少，係因量產產品減少所致。
1150117,11412,3665,貿聯-KY,其他電子業,6640666,6538775,4641987,1.558258236,43.05654023,71202485,54078795,31.6643335,-
1150117,11412,3669,圓展,通信網路業,297617,189274,193872,57.2413538,53.51211108,2530372,2610003,-3.050992662,本月較去年同期增加主要係因出貨量增加所致。
